player_name,player_name_season,season,plus_minus,minutes,pat,player_minutes_category,pie_pra,mantrap,santrap,primary_team_name,example_sentence
Luka Doncic,"Luka Doncic, 2024",2024,344,1766,0.07795057,Starter,0.120991984,0.508341003,0.715827649,Los Angeles Lakers,
Vincent Edwards,"Vincent Edwards, 2018",2018,-2,15.71666667,-0.18637941,All,0.004678363,0.000775241,0.251872352,Houston Rockets,
Drew Eubanks,"Drew Eubanks, 2018",2018,-7,97.15,-0.094449942,All,0.008420934,0.013686182,0.274336973,San Antonio Spurs,
Drew Eubanks,"Drew Eubanks, 2019",2019,-71,272.2,-0.257887767,All,0.025081788,0.014743941,0.133473843,San Antonio Spurs,
Drew Eubanks,"Drew Eubanks, 2020",2020,-90,735.1166667,-0.074477149,All,0.045816733,0.129483094,0.448073481,San Antonio Spurs,
Drew Eubanks,"Drew Eubanks, 2021",2021,-327,1244.583333,-0.125494185,Rotation,0.06087198,0.089642499,0.299828727,San Antonio Spurs,
Drew Eubanks,"Drew Eubanks, 2022",2022,-79,1398,0.006812818,Rotation,0.070795796,0.197751948,0.468695586,Portland Trail Blazers,
Drew Eubanks,"Drew Eubanks, 2023",2023,-113,1136,-0.137835002,Rotation,0.049932285,0.034157924,0.186844679,Phoenix Suns,
Drew Eubanks,"Drew Eubanks, 2024",2024,-126,746,-0.138608088,All,0.038398795,0.091069968,0.354406605,Utah Jazz,
Jacob Evans,"Jacob Evans, 2018",2018,-17,156.2166667,-0.246437895,All,0.007755828,0.009359397,0.254047372,Golden State Warriors,
Jacob Evans,"Jacob Evans, 2019",2019,-101,418.05,-0.066804507,All,0.029738982,0.013217572,0.140813698,Golden State Warriors,
Keenan Evans,"Keenan Evans, 2018",2018,0,0,NULL,All,0.000126719,NULL,NULL,Detroit Pistons,
Melvin Frazier Jr.,"Melvin Frazier Jr., 2018",2018,-3,34.88333333,-0.184175908,All,0.006065246,0.002574215,0.253903994,Orlando Magic,
Melvin Frazier Jr.,"Melvin Frazier Jr., 2019",2019,-39,125.9,-0.260807003,All,0.00699758,0.002970677,0.102077436,Orlando Magic,
Melvin Frazier Jr.,"Melvin Frazier Jr., 2021",2021,-92,119.5666667,-0.040278552,All,0.003100357,0.010021692,0.353314713,Oklahoma City Thunder,
Wenyen Gabriel,"Wenyen Gabriel, 2018",2018,0,0,NULL,All,0.006210452,NULL,NULL,Sacramento Kings,
Wenyen Gabriel,"Wenyen Gabriel, 2019",2019,-42,243.9833333,-0.147402017,All,0.024244373,0.008573405,0.124651653,Sacramento Kings,
Wenyen Gabriel,"Wenyen Gabriel, 2020",2020,-6,239.0333333,-0.01212705,All,0.009923222,0.035472046,0.389317399,New Orleans Pelicans,
Wenyen Gabriel,"Wenyen Gabriel, 2021",2021,44,358.7333333,0.209755959,All,0.016070439,0.058722352,0.40211218,Los Angeles Lakers,
Wenyen Gabriel,"Wenyen Gabriel, 2022",2022,-30,811,-0.048259998,All,0.033488578,0.110670894,0.386383805,Los Angeles Lakers,
Wenyen Gabriel,"Wenyen Gabriel, 2023",2023,-16,81,-0.009870196,All,0.004090391,0.008055981,0.316035342,Memphis Grizzlies,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2018",2018,-185,1955.7,-0.085215975,Star,0.093102516,0.015178198,0.197899561,LA Clippers,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2019",2019,159,2451.983333,0.022103067,Superstar,0.149904153,0.247963563,0.505748581,Oklahoma City Thunder,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2020",2020,-188,1137.983333,-0.055726576,Rotation,0.098948525,0.130781666,0.363711948,Oklahoma City Thunder,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2021",2021,-248,1910.316667,0.023386139,Star,0.136887511,0.372225199,0.610151543,Oklahoma City Thunder,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2022",2022,119,2132,0.053754279,Superstar,0.169894598,0.717191837,0.847057772,Oklahoma City Thunder,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2023",2023,610,2516,0.061624109,Superstar,0.190130089,0.536797292,0.74053781,Oklahoma City Thunder,
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander, 2024",2024,901,2633,0.089830989,Superstar,0.209323366,0.833946543,0.916973271,Oklahoma City Thunder,
Devonte Graham,"Devonte Graham, 2018",2018,-101,583.3,-0.114628579,All,0.03145871,0.05202388,0.309227449,Charlotte Hornets,
Devonte Graham,"Devonte Graham, 2019",2019,-152,2231.416667,0.064791219,Superstar,0.154461538,0.388823973,0.628499719,Charlotte Hornets,
Devonte Graham,"Devonte Graham, 2020",2020,98,1658.366667,0.101530312,Star,0.099684357,0.435310653,0.716178713,Charlotte Hornets,
Devonte Graham,"Devonte Graham, 2021",2021,40,2161.416667,0.034734101,Star,0.090920215,0.292022324,0.552075388,New Orleans Pelicans,
Devonte Graham,"Devonte Graham, 2022",2022,-93,1178,-0.060244127,Rotation,0.054944309,0.108352697,0.344253896,New Orleans Pelicans,
Devonte Graham,"Devonte Graham, 2023",2023,23,314,0.253591059,All,0.01367427,0.03646156,0.362233035,San Antonio Spurs,
Isaiah Hartenstein,"Isaiah Hartenstein, 2018",2018,40,209.05,0.13193002,All,0.01219716,0.022086109,0.305499644,Houston Rockets,
Isaiah Hartenstein,"Isaiah Hartenstein, 2019",2019,40,266.0166667,0.0754511,All,0.020379437,0.020013034,0.163964671,Houston Rockets,
Isaiah Hartenstein,"Isaiah Hartenstein, 2020",2020,-6,533.9333333,-0.003419972,All,0.03039746,0.103673605,0.43687075,Denver Nuggets,
Isaiah Hartenstein,"Isaiah Hartenstein, 2021",2021,169,1215.65,0.121564656,Rotation,0.071533125,0.250184446,0.571175952,LA Clippers,
Isaiah Hartenstein,"Isaiah Hartenstein, 2022",2022,100,1431,-0.002624599,Rotation,0.07078323,0.204934273,0.46920994,New York Knicks,
Isaiah Hartenstein,"Isaiah Hartenstein, 2023",2023,406,1864,0.103411614,Starter,0.095638144,0.345666812,0.651156597,New York Knicks,
Isaiah Hartenstein,"Isaiah Hartenstein, 2024",2024,400,1621,-0.013188544,Starter,0.093281272,0.168314074,0.410281293,Oklahoma City Thunder,
Aaron Holiday,"Aaron Holiday, 2018",2018,104,569.2333333,0.092549314,All,0.037397573,0.063509662,0.338194232,Indiana Pacers,
Aaron Holiday,"Aaron Holiday, 2019",2019,112,1617.233333,0.028675188,Starter,0.077317954,0.199875533,0.483362547,Indiana Pacers,
Aaron Holiday,"Aaron Holiday, 2020",2020,-24,1139.166667,-0.01777659,Rotation,0.051852886,0.103387791,0.338227997,Indiana Pacers,
Aaron Holiday,"Aaron Holiday, 2021",2021,-37,1020.55,-0.039092645,Rotation,0.048758696,0.106561942,0.357008064,Washington Wizards,
Aaron Holiday,"Aaron Holiday, 2022",2022,20,815,0.005671953,All,0.028609272,0.078283895,0.363130425,Atlanta Hawks,
Aaron Holiday,"Aaron Holiday, 2023",2023,85,1269,0.046049178,Rotation,0.051219816,0.14428855,0.445786245,Houston Rockets,
Aaron Holiday,"Aaron Holiday, 2024",2024,88,793,-0.000697342,All,0.031898205,0.08526018,0.361337881,Houston Rockets,
Kevin Huerter,"Kevin Huerter, 2018",2018,-73,1795.966667,0.096799914,Starter,0.06513515,0.250003714,0.570419648,Atlanta Hawks,
Kevin Huerter,"Kevin Huerter, 2019",2019,-242,1760.166667,-0.001843781,Starter,0.084775087,0.18507577,0.443629891,Atlanta Hawks,
Kevin Huerter,"Kevin Huerter, 2020",2020,68,2091,-0.037707766,Superstar,0.103791674,0.032328924,0.255886957,Atlanta Hawks,
Kevin Huerter,"Kevin Huerter, 2021",2021,168,2188.3,0.030383035,Star,0.090063951,0.272195882,0.532828452,Atlanta Hawks,
Kevin Huerter,"Kevin Huerter, 2022",2022,136,1935,0.019091869,Star,0.100409437,0.177310387,0.422876869,Sacramento Kings,
Kevin Huerter,"Kevin Huerter, 2023",2023,77,1565,0.029858918,Rotation,0.06555416,0.180980684,0.459549575,Sacramento Kings,
