head_node_type,head_node_schema,head_node_name,tail_node_type,tail_node_schema,tail_node_schema,head_node_verbose,tail_node_verbose
view,dbo,position_group,stored procedure,dbo,create_player_season_primary_and_concat_position,view dbo.position_group,stored procedure dbo.create_player_season_primary_and_concat_position
stored procedure,dbo,create_player_season_primary_and_concat_position,table,dbo,player_season_primary_and_concat_position,stored procedure dbo.create_player_season_primary_and_concat_position,table dbo.player_season_primary_and_concat_position
table,clean,player_game_stats,stored procedure,dbo,create_player_season_primary_and_concat_team,table clean.player_game_stats,stored procedure dbo.create_player_season_primary_and_concat_team
table,dbo,team,stored procedure,dbo,create_player_season_primary_and_concat_team,table dbo.team,stored procedure dbo.create_player_season_primary_and_concat_team
stored procedure,dbo,create_player_season_primary_and_concat_team,table,dbo,player_season_primary_and_concat_team,stored procedure dbo.create_player_season_primary_and_concat_team,table dbo.player_season_primary_and_concat_team
table,dbo,player_position_group_regular_season_rank,stored procedure,dbo,create_regular_season_min_max_player_position_group_stats,table dbo.player_position_group_regular_season_rank,stored procedure dbo.create_regular_season_min_max_player_position_group_stats
stored procedure,dbo,create_regular_season_min_max_player_position_group_stats,table,dbo,regular_season_min_max_player_position_group_stats,stored procedure dbo.create_regular_season_min_max_player_position_group_stats,table dbo.regular_season_min_max_player_position_group_stats
table,dbo,player_regular_season_rank,stored procedure,dbo,create_regular_season_min_max_player_stats,table dbo.player_regular_season_rank,stored procedure dbo.create_regular_season_min_max_player_stats
stored procedure,dbo,create_regular_season_min_max_player_stats,table,dbo,regular_season_min_max_player_stats,stored procedure dbo.create_regular_season_min_max_player_stats,table dbo.regular_season_min_max_player_stats
table,dbo,player_regular_season_rank,stored procedure,dbo,create_regular_season_minutes_buckets,table dbo.player_regular_season_rank,stored procedure dbo.create_regular_season_minutes_buckets
stored procedure,dbo,create_regular_season_minutes_buckets,table,dbo,regular_season_minutes_buckets,stored procedure dbo.create_regular_season_minutes_buckets,table dbo.regular_season_minutes_buckets
table,dbo,player_regular_season_pat_stats,stored procedure,dbo,create_regular_season_pat_rankings_superstars_and_stars,table dbo.player_regular_season_pat_stats,stored procedure dbo.create_regular_season_pat_rankings_superstars_and_stars
table,dbo,regular_season_minutes_buckets,stored procedure,dbo,create_regular_season_pat_rankings_superstars_and_stars,table dbo.regular_season_minutes_buckets,stored procedure dbo.create_regular_season_pat_rankings_superstars_and_stars
stored procedure,dbo,create_regular_season_pat_rankings_superstars_and_stars,table,dbo,regular_season_pat_rankings_superstars_and_stars,stored procedure dbo.create_regular_season_pat_rankings_superstars_and_stars,table dbo.regular_season_pat_rankings_superstars_and_stars
table,clean,player_game_stats,stored procedure,dbo,create_team,table clean.player_game_stats,stored procedure dbo.create_team
